ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,49.55198,109.25884;1,141.66982,109.17801;2,47.76786,204.20496;3,141.22176,205.68207;1739415669.493372;1739415669.5083792;0.015008687973022461#0.00603#1739415669.50843#1739415669.50986
0,48.97736,108.96107;1,141.52278,108.75907;2,46.5841,202.91905;3,140.39561,205.10849;1739415669.5033884;1739415669.5141237;0.010736465454101562#0.00574#1739415669.51417#1739415669.51591
0,48.189857,109.62033;1,141.36946,107.620766;2,46.45573,202.86215;3,140.42271,205.28664;1739415669.51339;1739415669.520335;0.00694584846496582#0.00622#1739415669.52039#1739415669.52196
0,48.189857,109.62033;1,141.36946,107.620766;2,46.45573,202.86215;3,140.42271,205.28664;1739415669.51339;1739415669.526246;0.012857198715209961#0.00591#1739415669.5263#1739415669.52802
0,48.018406,108.59805;1,140.29663,108.73134;2,46.270897,203.23277;3,140.62906,205.03662;1739415669.52342;1739415669.5321765;0.00875711441040039#0.00593#1739415669.53223#1739415669.53414
0,48.018406,108.59805;1,140.29663,108.73134;2,46.270897,203.23277;3,140.62906,205.03662;1739415669.52342;1739415669.538593;0.015173673629760742#0.00641#1739415669.53864#1739415669.54013
0,47.857662,108.86445;1,140.62753,108.99907;2,45.53067,203.06226;3,140.67027,205.40805;1739415669.5334303;1739415669.544399;0.010969877243041992#0.0058#1739415669.54445#1739415669.54619
0,48.073032,109.41853;1,140.7817,108.85251;2,46.074497,202.87448;3,140.42548,205.15529;1739415669.5434227;1739415669.5508947;0.0074732303619384766#0.0065#1739415669.55094#1739415669.55228
0,48.073032,109.41853;1,140.7817,108.85251;2,46.074497,202.87448;3,140.42548,205.15529;1739415669.5434227;1739415669.5569026;0.013480663299560547#0.00601#1739415669.55695#1739415669.55834
0,49.283302,109.3877;1,141.30138,108.75422;2,47.237892,203.19043;3,141.20912,204.83627;1739415669.5534434;1739415669.5628228;0.009380578994750977#0.00592#1739415669.56287#1739415669.56441
0,49.283302,109.3877;1,141.30138,108.75422;2,47.237892,203.19043;3,141.20912,204.83627;1739415669.5534434;1739415669.5692348;0.0157928466796875#0.00641#1739415669.56928#1739415669.57042
0,48.71211,109.17873;1,141.72005,107.9037;2,47.254005,203.34035;3,140.45609,204.977;1739415669.5634356;1739415669.5748065;0.011372089385986328#0.00558#1739415669.57486#1739415669.57652
0,49.142372,109.53853;1,141.7822,109.28123;2,47.046234,203.35104;3,140.93002,205.50494;1739415669.5734537;1739415669.580677;0.007224559783935547#0.00586#1739415669.58072#1739415669.58256
0,49.142372,109.53853;1,141.7822,109.28123;2,47.046234,203.35104;3,140.93002,205.50494;1739415669.5734537;1739415669.5870104;0.013557672500610352#0.00634#1739415669.58706#1739415669.58864
0,48.717285,109.58091;1,140.88335,109.050095;2,46.5291,203.0923;3,140.56845,205.84428;1739415669.5834644;1739415669.593062;0.009598493576049805#0.00604#1739415669.5931#1739415669.5947
0,47.955795,109.06503;1,140.7652,108.38937;2,47.65505,199.8903;3,138.00465,203.12508;1739415669.5834644;1739415669.599442;0.015978574752807617#0.00638#1739415669.59949#1739415669.60074
0,47.955795,109.06503;1,140.7652,108.38937;2,47.65505,199.8903;3,138.00465,203.12508;1739415669.5934603;1739415669.6052816;0.01182246208190918#0.00584#1739415669.60533#1739415669.60681
0,143.66507,24.386341;1,214.26283,29.81633;2,141.05992,109.063156;3,215.83737,109.48713;1739415669.603484;1739415669.6109996;0.007516384124755859#0.00571#1739415669.61104#1739415669.61285
0,143.66507,24.386341;1,214.26283,29.81633;2,141.05992,109.063156;3,215.83737,109.48713;1739415669.603484;1739415669.6173577;0.013875484466552734#0.00636#1739415669.6174#1739415669.61893
0,145.03279,21.888226;1,215.64983,28.092838;2,141.68703,109.79036;3,216.31139,109.53784;1739415669.6135077;1739415669.6232548;0.009747982025146484#0.0059#1739415669.6233#1739415669.62499
0,142.74506,17.41073;1,221.09088,19.75394;2,141.08679,109.85459;3,220.62274,111.05853;1739415669.6135077;1739415669.6292074;0.015700578689575195#0.00595#1739415669.62925#1739415669.63104
0,142.74506,17.41073;1,221.09088,19.75394;2,141.08679,109.85459;3,220.62274,111.05853;1739415669.6234977;1739415669.6358724;0.012375593185424805#0.00666#1739415669.63592#1739415669.6371
0,143.36082,16.980576;1,221.94331,20.03029;2,141.5618,110.149216;3,221.38483,111.072784;1739415669.6334999;1739415669.6414938;0.007995128631591797#0.00562#1739415669.64154#1739415669.64318
