ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,33.45816,121.33156;1,126.47253,120.05671;2,36.398468,214.08287;3,127.84069,213.94847;1739246900.378064;1739246900.3957882;0.017725706100463867#0.01571#1739246900.39585#1739246900.39903
0,33.594765,121.208954;1,127.15506,119.74565;2,36.27924,213.41187;3,127.87183,212.59326;1739246900.3880765;1739246900.4116514;0.023575544357299805#0.01586#1739246900.41171#1739246900.4199
0,33.7511,120.47542;1,127.690865,120.436905;2,36.237705,212.95992;3,127.87815,213.70534;1739246900.4080982;1739246900.4288359;0.020739078521728516#0.0172#1739246900.42892#1739246900.43254
0,33.375034,120.7195;1,127.056244,120.38059;2,36.31068,213.53749;3,127.86473,214.02979;1739246900.428117;1739246900.4457986;0.017682552337646484#0.01697#1739246900.44589#1739246900.44686
0,33.22099,121.49491;1,127.023766,120.05744;2,36.710197,213.7684;3,127.87757,213.0036;1739246900.438212;1739246900.4619083;0.023697853088378906#0.01609#1739246900.46197#1739246900.47113
0,33.585617,121.474976;1,127.32055,120.54182;2,36.62112,213.90636;3,128.14694,213.41928;1739246900.458155;1739246900.478984;0.020830869674682617#0.01709#1739246900.47906#1739246900.48307
0,33.798435,121.07549;1,126.797005,119.91045;2,36.52247,213.39438;3,127.81677,213.94186;1739246900.4781766;1739246900.4942126;0.0160369873046875#0.01522#1739246900.49427#1739246900.50456
0,33.116695,121.33471;1,127.544464,121.12469;2,36.725067,213.86238;3,127.42971,213.57373;1739246900.4881659;1739246900.5116212;0.023456335067749023#0.01741#1739246900.5117#1739246900.51689
0,33.252193,121.40143;1,127.55347,120.64942;2,36.652817,213.43465;3,127.47376,214.42287;1739246900.5081758;1739246900.52969;0.0215151309967041#0.01807#1739246900.52976#1739246900.53347
0,33.383133,121.59195;1,126.60001,120.22933;2,36.284714,213.92303;3,127.3013,214.13744;1739246900.5281813;1739246900.5448122;0.0166318416595459#0.01512#1739246900.54488#1739246900.54601
0,32.863583,122.60896;1,127.42929,120.98619;2,36.42846,213.75652;3,127.70375,213.87254;1739246900.5382004;1739246900.5600042;0.021805286407470703#0.01519#1739246900.56006#1739246900.56737
0,33.02573,121.34536;1,127.66016,120.75817;2,36.730152,213.92575;3,127.71699,214.57025;1739246900.5582316;1739246900.5752244;0.016994476318359375#0.01522#1739246900.57529#1739246900.58385
0,33.084087,121.78733;1,126.99987,120.13709;2,36.67341,214.09047;3,127.98113,214.16281;1739246900.5682225;1739246900.5929556;0.0247344970703125#0.01774#1739246900.59302#1739246900.59846
0,33.199276,121.16225;1,128.26648,120.51608;2,36.703033,213.28065;3,127.753555,214.01582;1739246900.5882359;1739246900.6118112;0.023576974868774414#0.01886#1739246900.61188#1739246900.61707
0,32.748596,120.89872;1,128.00772,120.25633;2,36.582577,213.16826;3,127.75543,213.537;1739246900.6082747;1739246900.6295588;0.021285057067871094#0.01775#1739246900.62965#1739246900.63524
0,33.244545,121.04553;1,127.07093,120.07383;2,36.18638,213.89426;3,127.573074,214.54887;1739246900.6282911;1739246900.6468518;0.018561840057373047#0.01728#1739246900.64691#1739246900.65422
0,33.569134,122.03171;1,127.353264,119.55537;2,36.614555,213.45454;3,127.39104,213.51878;1739246900.638295;1739246900.661899;0.0236051082611084#0.01505#1739246900.66196#1739246900.67003
0,33.663727,121.55533;1,127.214294,120.051216;2,36.07268,213.35246;3,127.39911,213.85257;1739246900.6583014;1739246900.679041;0.02074122428894043#0.01715#1739246900.67911#1739246900.68514
0,33.666637,120.93666;1,127.43847,119.9937;2,36.669014,213.99347;3,128.42546,214.03377;1739246900.6783276;1739246900.6967318;0.018406152725219727#0.0177#1739246900.6968#1739246900.70366
0,32.856503,121.72303;1,127.00563,120.33201;2,37.33755,213.45868;3,128.22578,213.57462;1739246900.6883347;1739246900.7114496;0.023115873336791992#0.01471#1739246900.71152#1739246900.71683
